GEOID_12,med_hou_inc,med_inc_q,below_pov,bach_degre,grad_degre,asian,black,hispanic,white,home_age,loss_n,gain_n,change_5_200,suhi_2013,suhi_2022,suhi_change,tree_area_13_n,tree_area_22_n
42101006400,38032,1,0.32137931,0.131193024,0.019817677,2,74.2,7.8,5.3,83,0.050981168,0.062127485,0.011146332,5.802288656,7.475616359,1.673327703,0.188165704,0.203732605
42101007000,38158,1,0.120803357,0.071273359,0.037375054,0,87.6,4.5,1.4,83,0.033662985,0.042253012,0.008590025,8.426485448,10.49654833,2.070062878,0.064538448,0.071687
42101016300,38660,1,0.427282194,0.073765616,0,0.1,9.5,83.7,17,83,0.031012808,0.03706393,0.006051115,8.151320831,7.867292112,-0.284028715,0.059249662,0.063460288
42101008301,38713,1,0.258811152,0.125311721,0.015586035,0,87.8,7.2,3.4,80,0.03903465,0.074691742,0.035657089,7.901009641,9.812402058,1.911392416,0.195274531,0.232784177
42101028902,38759,1,0.36232125,0.13824254,0.018888585,11.2,36.1,48.6,21.3,77,0.0422502,0.078302913,0.036052706,8.230909467,4.847342622,-3.38356684,0.242183234,0.280992528
42101011300,38858,1,0.324878049,0.135009311,0.094972067,0,96.2,0.6,2.2,83,0.042473725,0.05110139,0.00862766,8.936178188,8.931319827,-0.004858361,0.101346658,0.107307859
42101016701,38973,1,0.309235669,0.092201835,0.004587156,0,93.6,0.9,4,83,0.108447256,0.054155748,-0.054291507,8.636014212,7.313996878,-1.322017336,0.152904136,0.09482977
42101020102,39288,1,0.236007463,0.142168675,0.024899598,1,94,8.6,2.9,83,0.05074228,0.044924941,-0.005817325,9.717142991,5.775973667,-3.94116932,0.108977419,0.103805538
42101007400,39547,1,0.305041628,0.099612812,0.063357973,3.8,66.9,0.9,9.2,83,0.039740044,0.069742133,0.030002089,8.086167565,9.289977832,1.203810268,0.088700204,0.118216572
42101014600,39583,1,0.267063492,0.099868594,0.065703022,14.8,40.5,4,37.3,56,0.030694547,0.036902288,0.006207735,7.856374545,8.633426897,0.777052351,0.068735689,0.072174575
42101012201,39608,2,0.240785256,0.36214539,0.180851064,12.4,45.6,11.8,24.4,47,0.050738763,0.086060635,0.035321874,7.268204327,5.945592833,-1.322611491,0.250170534,0.289823775
42101038900,39629,2,0.279403489,0.101926164,0.084670947,0,54,37,7.6,75,0.015802039,0.026587239,0.010785191,6.844179687,5.290129008,-3.441515969,0.306301914,0.326445458
42101026600,39788,2,0.17976408,0.123194562,0.043118097,0,93.8,0,0.8,83,0.044132398,0.034843417,-0.00928898,7.404740033,8.961102281,1.556362251,0.126772734,0.114509446
42101029000,39878,2,0.318299339,0.169837914,0.013624618,24,24.1,47.8,12.6,78,0.043292882,0.066488906,0.023196025,7.516420806,4.671814722,-2.844606084,0.20079307,0.227185685
42101007101,40046,2,0.356775978,0.01421508,0.022867738,1.5,91.9,0,6.6,83,0.034783036,0.054077055,0.019294021,8.612300548,10.3433117,1.731011146,0.091039587,0.109990426
42101028800,40137,2,0.458087616,0.034621329,0.078516229,9.8,22.1,63.5,17.3,83,0.032149357,0.036503867,0.004354516,9.256473344,6.128561868,-3.12791148,0.072739492,0.077846323
42101003600,40271,2,0.250882308,0.103965942,0.049518261,17.8,60.7,3.6,17.3,68,0.012884313,0.052052247,0.039167929,7.128381811,9.513751014,2.385369205,0.051424061,0.086628145
42101011400,40497,2,0.344373866,0.11363126,0.141702223,0.1,94.1,1,4.5,83,0.061144071,0.062051282,0.000907206,8.68759945,7.668673998,-1.01892545,0.176051827,0.173327616
42101027300,40618,2,0.279477612,0.088833067,0.033797671,23.1,49.4,11.2,11.6,75,0.026841542,0.052904228,0.026062689,8.151764141,5.793418147,-2.358345994,0.129247126,0.156082048
42101024700,40714,2,0.305578918,0.092916667,0.129583333,0.2,91.9,1.9,6,83,0.072646479,0.08548341,0.012836931,7.150889777,6.05578381,-1.095105966,0.254147966,0.264513407
42101038200,40837,2,0.345166163,0.078007046,0.033215903,0,5.9,33.7,61.3,83,0.02089064,0.027917733,0.007027093,9.425307286,9.579407184,0.154099898,0.055767111,0.059957673
